# GuessTheSongYear — Music Video Database
# Format: videoId,year,title
# Lines starting with # are ignored. Blank lines are ignored.
# One videoId per line.
# -- Fallback videos from original codebase --
# -- Additional popular music videos (years 1960-2024) --
# Pop classics
# Rock / Alternative
# Hip-Hop / R&B
# Dance / Electronic
# -- Classical / Pop from earlier decades --
# 1960s
# 1970s
# Auto-updated: 619 entries (548 new)
# Format: videoId,year,title
# Generated by scripts/refresh_videos.py
# Auto-updated: 782 entries (163 new)
# Format: videoId,year,title
# Generated by scripts/refresh_videos.py

4eKxPmUMS_Y,2011,LMFAO - Party Rock Anthem
YJVmu6yttiw,2015,Ellie Goulding - Love Me Like You Do
tKyGy065SoY,2014,Tiësto - Wasted
LtL9g3HrKXk,2019,Lil Nas X - Panini
8z2kLhTfBfI,1964,Louis Armstrong - Hello Dolly
Ci2YqBqOIBk,1965,The Beatles - Yesterday
NJHbunr6ScI,1965,The Sound Of Music - Do Re Mi
74Qyeid03e0,1977,Fleetwood Mac - Dreams
CX45aYw8Lek,1977,Queen - We Will Rock You
kHueq0h4KkQ,1978,The Knack - My Sharona
hFDcoX7s6rE,1973,Pink Floyd - Money
9h30BxN9RiA,1975,Queen - Bohemian Rhapsody
rG5GxtbOzms,1980,80S MUSIC ON THE ROAD   2 Hours of Classic 80s Hits
gk034lHxQ2k,1980,Best of 80s Music Legends - Tears For Fears, Madonna, Cyndi Lauper, Modern Talking, Michael Jackson
Fpdr4ZlPItg,1980,80s Music Hits - Best Oldies Songs Of 1980s - The Police, Cyndi Lauper, Michael Jackson, CCR...
WnCfvAMM9eY,1980,Radio 70s 80s Mix [ 24/7 Live ] Listen 70s Music Hits with Best of 80s Songs ● Oldies Songs
nNEb2k_EmMg,1980,Laura Branigan - Gloria (Official Music Video)
ISOMFhmJSN8,1980,Nonstop 80s Greatest Hits - Best Oldies Songs Of 1980s - Greatest 80s Music Hits
RlIsp1IePr0,1980,Nonstop 80s Greatest Hits - Best Oldies Songs Of 1980s - Greatest 80s Music Hits
CwoKXGi4Qvw,1980,Best of 80s Music Legends - Tears For Fears, Madonna, Cyndi Lauper, Modern Talking, Michael Jackson
djV11Xbc914,1980,a-ha - Take On Me (Official Video) [4K]
OQPwWYlycK0,1980,80s Music Hits - Best Oldies Songs Of 1980s - The Police, Madonna, Cyndi Lauper, Michael Jackson...
GKuM7wrvLbA,1980,Guess the ‘80s Song by the Intro | Music Quiz 🎵
vf-GOhKpXFE,1980,Flashback 80s Mix - Music Of The 80s - Best Old Songs Ever - Music That Bring Back Your Memories 80s
RpShATSzjwo,1980,Best 80s Songs LIVE - 1980s pop music, TOP Mix 80s Greatest Hits & Emotional Timeless Playlist
NLKSz8xE81M,1980,Guess the 80s Song by the Intro | Music Quiz
PqEYwJF9tb0,1980,Sesame Street: 80s Music Mashup Parody
VcjzHMhBtf0,1981,Journey - Dont Stop Believin (Escape Tour 1981: Live In Houston)
2q4RwTIkYk0,1981,Journey - Whos Crying Now (Live 1981: Escape Tour - 2022 HD Remaster)
HTzGMEfbnAw,1981,Juice Newton - Angel Of The Morning (Official Music Video)
XfR9iY5y94s,1981,Men At Work - Down Under (Official HD Video)
aENX1Sf3fgQ,1981,The Police - Every Little Thing She Does Is Magic (Official Music Video)
P0DK-0fIKCw,1981,Juice Newton - Queen Of Hearts
Kcm3dbuV8Z4,1981,Lindsey Buckingham - Trouble (Official Music Video) [HD Remaster]
1k8craCGpgs,1981,Journey - Dont Stop Believin (Official Audio)
auLBLk4ibAk,1981,Rush - Tom Sawyer
YkADj0TPrJA,1981,Phil Collins - In The Air Tonight (Official Music Video)
Lrle0x_DHBM,1981,Earth, Wind & Fire - Lets Groove (Official HD Video)
EPOIS5taqA8,1981,Kim Carnes - Bette Davis Eyes
zQ41hqlV0Kk,1981,Rod Stewart - Young Turks (Official HD Remaster)
uPudE8nDog0,1981,The Human League - Dont You Want Me (Official Music Video)
BqDjMZKf-wg,1981,The J. Geils Band - Centerfold (Official Music Video)
QV29P-f2N_k,1982,【1982 Soft music】 Billboard Year End Top100 Greatest Hits - Best Oldies Songs Of 1980s
6BODDyZRF6A,1982,Dexys Midnight Runners, Kevin Rowland - Come On Eileen (1982 Version)
FTQbiNvZqaY,1982,Toto - Africa (Official HD Video)
iIpfWORQWhU,1982,A Flock Of Seagulls - I Ran (So Far Away) (Video)
EsyUa63NM1E,1982,Musical Youth - Pass The Dutchie
ysmVlaw36L0,1982,Yaz - Situation (Official Audio)
LH6MstVxehQ,1982,ANNIE (1982) - “It’s The Hard Knock Life” Full Clip
gOK3rqVgN2I,1982,A Flock Of Seagulls - Space Age Love Song (Official Music Video)
mcMh6GZoFC8,1982,A Flock Of Seagulls - Space Age Love Song 1982
1A0MPWseJIE,1982,Chicago - Hard To Say Im Sorry (Official Music Video)
mwgg1Pu6cNg,1982,Fleetwood Mac - Gypsy (Official Music Video) [HD]
EpPm-I6S_4Y,1982,Randy Travis - 1982 (2021 Remaster)
LatorN4P9aA,1983,Journey - Separate Ways (Worlds Apart) (Official HD Video - 1983)
InyWhQLfO7A,1983,Journey - Send Her My Love (Official HD Video - 1983)
OMOGaugKpzs,1983,The Police - Every Breath You Take (Official Music Video)
OMD8hBsA-RI,1983,Journey - Faithfully (Official HD Video - 1983)
IGVZOLV9SPo,1983,Pat Benatar - Love Is A Battlefield (Official Music Video)
nqAvFx3NxUM,1983,Lionel Richie - All Night Long (All Night)
AR8D2yqgQ1U,1983,Spandau Ballet - True (HD Remastered)
6GCNUeTFSbA,1983,Maniac
9RS9IDB4bSU,1983,Execs Told Icon-Song Has NO HOOK…He Said-The ENTIRE SONG is a HOOK…Then He Hit #1!-Professor of Rock
VbD_kBJc_gI,1983,David Bowie - Lets Dance (Official Video) [HD]
JmGMzyajA2U,1983,The Romantics - Talking In Your Sleep
hCuMWrfXG4E,1983,Billy Joel - Uptown Girl (Official Video)
ntG50eXbBtc,1983,Spandau Ballet - Gold (HD Remastered)
SwYN7mTi6HM,1983,Van Halen - Jump (Official Music Video) [HD]
9OFpfTd0EIs,1983,Billy Idol - Eyes Without A Face
4TYv2PhG89A,1984,Sade - Smooth Operator - Official - 1984
xuZA6qiJVfU,1984,The Cars - Drive (Official Music Video)
7YvAYIJSSZY,1984,Rockwell - Somebodys Watching Me (Official Music Video)
rgc_LRjlbTU,1984,Murray Head - One Night In Bangkok From CHESS
RP0_8J7uxhs,1984,Laura Branigan - Self Control (Official Music Video)
sTJ1XwGDcA4,1984,Kool & The Gang - Fresh
oNjQXmoxiQ8,1984,Alphaville - Forever Young (Official Music Video)
uZD8HKVKneI,1984,Glenn Frey - The Heat Is On (From Beverly Hills Cop Soundtrack)
PGNiXGX2nLU,1984,Dead Or Alive - You Spin Me Round (Like a Record) (Official Video)
uxX2gA18grk,1984,Billy Ocean - Caribbean Queen (No More Love on the Run) (Official HD Video)
wxT7E2Zd_gg,1984,JRAP - 1984 Song (Official Audio) New Liberian Song
WGU_4-5RaxU,1984,Blondie - Heart Of Glass
n5GX5VjeMng,1984,Boney M. - Happy Song (Na, sowas - extra 29.11.1984)
32ScTb6_KHg,1985,Starship - Sara (Official Music Video) [HD]
9AjkUyX0rVw,1985,U.S.A. For Africa - We Are the World
aGCdLKXNF3w,1985,Tears For Fears - Everybody Wants To Rule The World (Official Music Video)
kcPc18SG6uA,1985,Sade - The Sweetest Taboo - Official - 1985
nKhN1t_7PEY,1985,Mr. Mister - Broken Wings (Official Video)
Ye7FKc1JQe4,1985,Tears For Fears - Shout (Official Music Video)
4N1iwQxiHrs,1985,The Outfield - Your Love (Official HD Video)
znDgBy2mHbc,1985,Tears For Fears - Everybody Wants To Rule The World (Official Archive Video)
eNvUS-6PTbs,1985,Modern Talking - Cheri Cheri Lady (Official Video)
i2O-7hU53Fk,1985,Year: 1985. Music Quiz / Blind Test. 50 Songs To Guess.
3wxyN3z9PL4,1985,Starship - Nothings Gonna Stop Us Now (Official Music Video) [HD]
CsHiG-43Fzg,1985,Tears For Fears - Head Over Heels
pIgZ7gMze7A,1985,Wham! - Wake Me Up Before You Go-Go (Official Video)
CdqoNKCCt7A,1985,Simple Minds - Dont You (Forget About Me)
zja7mru0jAU,1986,The VERY BEST Songs Of 1986
7ovNgZSI1sY,1986,150 Hit Songs of 1986
Bx51eegLTY8,1986,Berlin - Take My Breath Away (Official Video - Top Gun)
5c8GJnURXZ4,1986,BEST SONGS OF 1986
0U8FQVVbnwM,1986,Billboards Top 200 Songs by Peak - 1986
yjwtCjta8vU,1986,My top 250 of 1986 songs
ZFwrtRjJE28,1986,Top 10 songs of 1986
NWlSkxCfANA,1986,1986 Billboard Year ✦ End Hot 100 Singles - Top 100 Songs of 1986
k2C5TjS2sh4,1986,Roxette - It Must Have Been Love (Official Music Video) (Remastered)
GklP0ATsEtw,1986,50 Songs From 1986 Remixed Into 3 Minutes
J9gKyRmic20,1986,Crowded House - Dont Dream Its Over (Official Music Video)
lDK9QqIzhwk,1986,Bon Jovi - Livin On A Prayer
7QjbBNqYnps,1986,Top Songs of 1986 - Hits of 1986
zpzdgmqIHOQ,1986,Madonna - La Isla Bonita (Official Video)
eH3giaIzONA,1987,Whitney Houston - I Wanna Dance With Somebody (Who Loves Me) (Official 4K Video)
2ssCL292DQA,1987,Eric Carmen - Hungry Eyes (Official HD Video)
ejorQVy3m8E,1987,Midnight Oil - Beds Are Burning
dRHetRTOD1Q,1987,Pet Shop Boys - Its A Sin (Official Video) [HD REMASTERED]
YF1R0hc5Q2I,1987,Fleetwood Mac - Everywhere (Official Music Video) [HD]
1Cw1ng75KP0,1987,Heart - Alone
n3nPiBai66M,1987,The Cure - Just Like Heaven
uCGD9dT12C0,1987,Fleetwood Mac - Little Lies (Official Music Video) [HD]
lU9p1WRfA9w,1987,Patrick Swayze - Shes Like The Wind (Official HD Video) ft. Wendy Fraser
ujNeHIo7oTE,1987,U2 - With Or Without You (Official Music Video)
9b4F_ppjnKU,1987,Fleetwood Mac - Seven Wonders (Official Music Video) [HD]
dsUXAEzaC3Q,1987,Michael Jackson - Bad (Shortened Version)
NuOIbqydw7Q,1988,Every #1 Song of 1988: The Year 80s Music Went Huge
yCC_b5WHLX0,1988,Roxette - Listen To Your Heart (Official Music Video)
_oVI0GW-Xd4,1988,Sade - Nothing Can Come Between Us - Official - 1988
C0BLKudnyNo,1988,Sade - Paradise - Official - 1988
xjMwfDFypa4,1988,R.E.M. - Pop Song 89 (Official Music Video) [Pop Screen Video Version]
ik2YF05iX2w,1988,Pet Shop Boys - Domino Dancing (Official Video) [HD REMASTERED]
9GMjH1nR0ds,1988,New Order - Blue Monday 88 (Official Music Video)
fTsuSDWlA5U,1988,Billy Ocean - The Colour of Love (Official Video)
yUi_S6YWjZw,1988,Michael Jackson - Dirty Diana (Official Video)
PSoOFn3wQV4,1988,The Bangles - Eternal Flame (Official Video)
D8lO4UQVrsA,1988,Vanessa Williams - Dreamin (Official Music Video)
lHdXQAQHjd8,1988,Alabama - Song Of The South (Official Video)
l2q_-xN2N54,1989,Tesla - Love Song
dEUtUhVI0V0,1989,Cannibal Song
e4wvrl36fko,1989,2nd Most Popular Song Each Month in the 80s
y_7xxojr6Fw,1989,Love Song
KOzmEgdQyc4,1989,Most Popular Song Each Month in the 90s
ZnRxTW8GxT8,1989,The Most COMPLEX Pop Song of All Time
htPgQ5_4r9s,1989,every number one song of the 1980s
gNkKq9mVeVc,1989,R.E.M. - Pop Song 89
Yw4UTr7KHSI,1989,REM Pop Song 89
RNyN08iZ9kA,1989,Guess The 80s TV Show Theme Song!
7QNh0GDbe0A,1989,Guess The Song: 80s! | QUIZ
FPXteUWT6r0,1989,E r a s u r e Best Songs 🌻 70s 80s 90s Greatest Music Hits 🌻 Golden Playlist
UR_t-tk1B5U,1989,The Apartment Song
yjJL9DGU7Gg,1989,Stone Temple Pilots - Interstate Love Song (Official Music Video)
rog8ou-ZepE,1990,Vanilla Ice - Ice Ice Baby (Official Music Video)
CFqOEzrcHFE,1990,150 Hit Songs of 1990
2HftntrwEow,1990,Best Songs of 1990 to 1994 Vol. 3 (Nirvana, Cranberries, RHCP, Radiohead, REM, Green Day)
HVAYvX5RR1M,1990,90s Boyband Love Songs Full Album❣️Greatest Hits MLTR, Westlife, Backstreet Boys,NSYNC...
WQnAxOQxQIU,1990,Savage Garden - Truly Madly Deeply (Official Video)
Jne9t8sHpUc,1990,Alanis Morissette - Ironic (Official 4K Music Video)
5ZCB1ty7qBU,1990,Nirvana, Led Zeppelin, Bon Jovi, Aerosmith, U2, ACDC - Classic Rock Songs 70s 80s 90s Full Album
MbvQLNf-AUA,1990,Top Pop Songs USA 1990
uIbXvaE39wM,1990,Wilson Phillips - Hold On (Official Music Video)
FrLequ6dUdM,1990,TLC - No Scrubs (Official HD Video)
m9k7SJmPAAQ,1990,90s Hip Hop Mix #06 | Best of Old School Rap Songs | Throwback Rap Classics | Westcoast | Eastcoast
-SaUrDhp034,1990,Every Breath You Take
ODoLggaVjpo,1990,Best Songs Of The 1980s ~ DURAN DURAN, AEROSMITH, DIRE STRAITS, THE CARS, TEARS FOR FEARS
lTaXtWWR16A,1990,Madonna - Vogue (Live at the MTV Awards 1990) [Official Video]
9EzV-S5nXlw,1991,Rod Stewart - The Motown Song (with The Temptations) (Official Video)
zDKO6XYXioc,1991,Boyz II Men - End Of The Road
CmFDyZ3ytg8,1991,Digital Underground - Same Song (feat. 2Pac) [Official Music Video]
_KztNIg4cvE,1991,Crystal Waters - Gypsy Woman (Shes Homeless) (Official Music Video)
OgCv-qrlRrI,1991,Mint Condition - Breakin My Heart (Pretty Brown Eyes) (Official Music Video)
UrIiLvg58SY,1991,Extreme - More Than Words (Official Music Video)
uLVV2TaI4Wo,1991,Amy Grant - Thats What Love Is For (Official Music Video)
6zxvxzWilDg,1991,Digital Underground - Same Song (Official Music Video) [HD] ft. 2Pac
Y0pdQU87dc8,1991,Bryan Adams - (Everything I Do) I Do It For You
vabnZ9-ex7o,1991,Nirvana - Come As You Are (Official Music Video)
8SbUC-UaAxE,1991,Guns N Roses - November Rain
L6-uJLteKek,1991,Mr. Big - To Be With You 4K Video
322_GED6Ccs,1992,Kenny Loggins - Dannys Song (Live From The Grand Canyon, 1992)
vhG8zC4npsE,1992,Love Song For A Vampire
976b8TPPFJU,1992,SWV - Weak (Official HD Video)
FxYw0XPEoKE,1992,Whitney Houston - I Have Nothing (Official HD Video)
6NXnxTNIWkc,1992,4 Non Blondes - Whats Up (Official Music Video)
mGgMZpGYiy8,1992,The Cure - Friday Im In Love
ClbmWkbocoY,1992,Sheryl Crow - All I Wanna Do
HG7I4oniOyA,1992,Annie Lennox - Why (Official Music Video)
3JWTaaS7LdU,1992,Whitney Houston - I Will Always Love You (Official 4K Video)
Yam5uK6e-bQ,1992,The Cranberries - Dreams (Dir: Peter Scammell) (Official Music Video)
2yQ0Fll_9pM,1992,Toni Braxton - Another Sad Love Song (Official Black & White Video)
JW5UEW2kYvc,1992,Alan Jackson - Chattahoochee (Official HD Video)
Nco_kh8xJDs,1992,Alice In Chains - Would? (Official HD Video)
G6Kspj3OO0s,1993,The Cranberries - Linger (4K Official Music Video)
ZM5qIJdBtX0,1993,Cher - The Shoop Shoop Song (Its In His Kiss) (Alternate Version)
-oqAU5VxFWs,1993,Counting Crows - Mr. Jones (Official Music Video)
MmOau-PMWJk,1993,Sade - Kiss Of Life - Official - 1993
zWaymcVmJ-A,1993,Los Del Rio - Macarena (Bayside Boys Remix)
KLVq0IAzh1A,1993,Sting - Fields Of Gold
jQY_QL_wvQU,1993,Michael Jackson - Will You Be There (Official Video - Upscaled)
NlwIDxCjL-8,1993,Sting - Shape of My Heart (Official Music Video)
CqBtS6BIP1E,1993,Mariah Carey - Dreamlover (Official 4K Video)
Hat1Hc9SNwE,1993,Mariah Carey - Without You (Official HD Music Video)
p2Rch6WvPJE,1993,Toni Braxton - Un-Break My Heart (Official HD Video)
9X_ViIPA-Gc,1993,Meat Loaf - Id Do Anything For Love (But I Wont Do That) (Official Music Video)
tCJkjwB3Y9U,1994,150 Hit Songs of 1994
1F27h234WwU,1994,top songs of 1994
CsbaD-CwX8w,1994,NOW Thats What I Call Music! 1994
ys5DfKU9Tyw,1994,1990s throwback mix ~nostalgia playlist
NCu6gP7fFF0,1994,BEST SONGS OF 1994
mv4YMPuzRZc,1994,Top 10 songs of 1994
wHvf9sOWfag,1994,Best of 90s | Top Singles | 1994 Greatest Hits
cVpvlaKfLQc,1994,All-4-One - I Swear (Official Music Video)
9BMwcO6_hyA,1994,Bon Jovi - Always (Official Music Video)
XPcwi1gZbv8,1994,DANCE 1994 (Fun Factory, Real McCoy, ICE MC, Haddaway, .... ) THE BEST SET MIX vol. 01
9hb9MgswZHc,1994,94 Hits of 1994
i9HGwRbMiVY,1994,Lisa Loeb Stay (I Missed You) Music Video
gLInEMgFMEE,1994,Top 100 Songs of 1994 - Billboard Year End
uxq_SEHIVjo,1994,1994 In One Hour
ViP87WipSm0,1995,La Bouche - Be My Lover (Official Video)
TR3Vdo5etCQ,1995,No Doubt - Dont Speak (Official 4K Music Video)
bx1Bh8ZvH84,1995,Oasis - Wonderwall (Official Video)
oKOtzIo-uYw,1995,Fugees - Killing Me Softly With His Song (Official Video)
LfRNRymrv9k,1995,Mariah Carey - Always Be My Baby (Official Music Video)
N2ICtCO8TCw,1995,Take That - Back for Good (Official Video)
0J3vgcE5i2o,1995,Nelly Furtado - Promiscuous (Official Music Video) ft. Timbaland
0Gl2QnHNpkA,1995,Backstreet Boys - As Long As You Love Me (Official HD Video)
XAi3VTSdTxU,1995,Michael Jackson - Earth Song (Official Video)
-5qqrMu_AZc,1995,Gangstas Paradise
RnU9SbqwudQ,1995,Finish the Lyric Challenge | One Hit Song from Every Year (2024 to 1995)
yRYFKcMa_Ek,1995,Daryl Hall & John Oates - Maneater (Official Video)
FMar1ifzdmk,1996,Keith Sweat feat. Athena Cage - Nobody (Official Music Video)
gJLIiF15wjQ,1996,Spice Girls - Wannabe (Official Music Video)
Zzyfcys1aLM,1996,The Wallflowers - One Headlight (Official Music Video)
uB1D9wWxd2w,1996,Mark Morrison - Return of the Mack (Official Music Video)
Oai1V7kaFBk,1996,Sisqo - Thong Song (Official Music Video)
cP4yAnbtDZE,1996,Keith Sweat - Twisted (Official Music Video)
rKFx0MMqb48,1996,Kid Rock - Picture feat. Sheryl Crow [Official Music Video]
aIXyKmElvv8,1996,Fugees - Ready Or Not (Official HD Video)
IGMabBGydC0,1996,Rusted Root - Send Me On My Way (Official Music Video)
qSIOp_K5GMw,1996,Brandy & Monica - The Boy Is Mine (Official Video)
Ug88HO2mg44,1996,Backstreet Boys - Quit Playing Games (With My Heart) (Official HD Video)
CzAkTrDiXxg,1997,Ray Charles - Song For You (Live at Montreux 1997)
VV1XWJN3nJo,1997,Natalie Imbruglia - Torn (Official Video)
1lyu1KKwC74,1997,The Verve - Bitter Sweet Symphony
SSbBvKaM6sk,1997,Blur - Song 2 (Official Music Video)
luwAMFcc2f8,1997,Robbie Williams - Angels
MrTz5xjmso4,1997,Sean Kingston - Beautiful Girls (Official HD Video)
eDwi-8n054s,1997,Fleetwood Mac - Silver Springs (Live) (Official Video) [HD]
ZyhrYis509A,1997,Aqua - Barbie Girl (Official Music Video)
DL7-CKirWZE,1998,New Radicals - You Get What You Give (Official Music Video)
XS088Opj9o0,1998,Madonna - Frozen (Official Video) [HD]
NdYWuo9OFAw,1998,Goo Goo Dolls – Iris [Official Music Video] [4K Remaster]
p47fEXGabaY,1998,Ricky Martin - Livin La Vida Loca (Official HD Video)
4fndeDfaWCg,1998,Backstreet Boys - I Want It That Way (Official HD Video)
JkK8g6FMEXE,1998,Aerosmith - I Dont Want to Miss a Thing (Official HD Video)
xGytDsqkQY8,1998,Semisonic - Closing Time (Official Music Video)
Cwkej79U3ek,1998,Vanessa Carlton - A Thousand Miles
6rgStv12dwA,1998,Baby Bash - Suga Suga (Official Music Video) ft. Frankie J
C-u5WLJ9Yk4,1998,Britney Spears - ...Baby One More Time (Official Video)
6Whgn_iE5uc,1999,Santana - Smooth (Official Video) ft. Rob Thomas
nPLV7lGbmT4,1999,Santana - Maria Maria (Official Video) ft. The Product G&B
L_jWHffIx5E,1999,Smash Mouth - All Star
1TO48Cnl66w,1999,Dido - Thank You (Official Video)
kIDWgqDBNXA,1999,Christina Aguilera - Genie In A Bottle (Official Video)
rXPfovXw2tw,1999,Brian McKnight - Back At One (Short Version) (Official Music Video)
2MRdtXWcgIw,1999,blink-182 - Adams Song
j-fWDrZSiZs,1999,Dido - White Flag (Official Video)
T6wbugWrfLU,1999,Céline Dion - Thats The Way It Is (Official HD Video)
Q3d3paNB8kU,2000,Most Popular Song Each Month in the 2000s
RaGQFiNz028,2000,Guess the 2000s Songs in 1 Second Music Quiz
6JnGBs88sL0,2000,Nelly Furtado - Say It Right (Official Music Video)
VbTYnJshTas,2000,Rock 2000s ⚡ [ LIVE ] Best of 2000s Rock Hits | Top 2000s Rock Songs | 2000s Rock Playlist
FC3y9llDXuM,2000,Wheatus - Teenage Dirtbag
RwAbxMrU2T0,2000,Radio 2000s Hits [ 24/7 Live ] 2000s Playlist | Early 2000s Songs • 2000s Pop Hits - Millenium, Y2K
5NPBIwQyPWE,2000,Avril Lavigne - Complicated (Official Video)
psuRGfAaju4,2000,Owl City - Fireflies (Official Music Video)
M11SvDtPBhA,2000,Miley Cyrus - Party In The U.S.A. (Official Video)
GxBSyx85Kp8,2000,Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris
kPBzTxZQG5Q,2000,3 Doors Down - Here Without You (Official Music Video)
k6M5C-oKw9k,2000,Ne-Yo - Miss Independent [Official Video]
8WYHDfJDPDc,2000,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland
emGri7i8Y2Y,2001,Sum 41 - In Too Deep
w5srnNrICJo,2001,JAŸ-Z - Song Cry
znlFu_lemsU,2001,Mary J. Blige - Family Affair (Official Music Video)
xJJsoquu70o,2001,Puddle Of Mudd - Blurry (Official Music Video)
7Xf-Lesrkuc,2001,Train - Drops Of Jupiter (Tell Me) (Official 4K Video)
Aiay8I5IPB8,2001,Nickelback - How You Remind Me [OFFICIAL VIDEO]
qnkuBUAwfe0,2001,Creed - One Last Breath (Official HD Music Video)
weRHyjj34ZE,2001,Shakira - Whenever, Wherever (Official HD Video)
erG5rgNYSdk,2001,Weezer - Island In The Sun (Official Music Video)
Lt2wjJlP2N4,2001,T-Pain - Bartender (Official HD Video) ft. Akon
ViwtNLUqkMY,2001,Beyoncé - Crazy In Love ft. JAY Z
Urdlvw0SSEc,2001,Alicia Keys - Fallin (Official HD Video)
g4tpuu-Up90,2001,Michael Jackson - You Rock My World (Official Video - Shortened Version)
Il-an3K9pjg,2002,Anne-Marie - 2002 [Official Video]
nIjVuRTm-dc,2002,Maroon 5 - She Will Be Loved (Official Music Video)
AQ4TW5Z8eu0,2002,Sean Paul - Im Still In Love With You (Official Video)
8mGBaXPlri8,2002,t.A.T.u. - All The Things She Said (Official Music Video)
iy4mXZN1Zzk,2002,Robbie Williams - Feel
DUT5rEU6pqM,2002,Shakira - Hips Dont Lie (featuring Wyclef Jean) (Official 4K Video) ft. Wyclef Jean
d020hcWA_Wg,2002,Coldplay - Clocks (Official Video)
-YI1GvEZ-LE,2002,Top 10 Best Pop Songs of 2026 🎧 (vol 55) || Top Hits in English 🎶 || The Most Listened Pop Songs
hvpZlpsU564,2002,Guess the Song | 2010-2020 Music Quiz | 100 Songs!
LOZuxwVk7TU,2003,Britney Spears - Toxic (Official HD Video)
fV4DiAyExN0,2003,Hoobastank - The Reason (Official Music Video)
oofSnsGkops,2003,James Blunt - Youre Beautiful (Official Music Video) [4K]
cDMhlvbOFaM,2003,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg
